title,author,image_url,rating,rating_count
Yumi and the Nightmare Painter,Brandon Sanderson,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1689135481i/60531416._SY75_.jpg,4.52,"29,923"
I Have Some Questions for You,Rebecca Makkai,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1658970269i/61053829._SY75_.jpg,3.64,"79,214"
"Fall of Ruin and Wrath (Awakening, #1)",Jennifer L. Armentrout,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1677160116i/65214365._SX50_.jpg,4.07,"23,042"
"The Love Wager (Mr. Wrong Number, #2)",Lynn Painter,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1655833044i/60487511._SY75_.jpg,3.91,"45,129"
The Wind Knows My Name,Isabel Allende,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1684816057i/62583516._SY75_.jpg,4.05,"22,150"
The Villa,Rachel Hawkins,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1651426717i/60784641._SY75_.jpg,3.64,"72,085"
"Magic Claims (Kate Daniels: Wilmington Years, #2; Kate Daniels, #10.6)",Ilona Andrews,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1676060503i/109554429._SY75_.jpg,4.73,"10,152"
Lone Women,Victor LaValle,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1673265868i/60460704._SY75_.jpg,3.73,"19,027"
"The Last Devil to Die (Thursday Murder Club, #4)",Richard Osman,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1680740298i/62226126._SY75_.jpg,4.54,"59,648"
"Heartstopper: Volume Five (Heartstopper, #5)",Alice Oseman,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1695913246i/53344030._SY75_.jpg,4.63,"12,280"
Throne of the Fallen,Kerri Maniscalco,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1673510962i/73071451._SY75_.jpg,4.22,"10,461"
"The Wager: A Tale of Shipwreck, Mutiny and Murder",David Grann,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1659407155i/61714633._SY75_.jpg,4.23,"50,329"
The Last Tale of the Flower Bride,Roshani Chokshi,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1675641961i/61150759._SY75_.jpg,3.70,"16,285"
"Magic Tides (Kate Daniels: Wilmington Years, #1; Kate Daniels, #10.5)",Ilona Andrews,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1670870689i/65969788._SY75_.jpg,4.54,"13,111"
The Bandit Queens,Parini Shroff,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1653323706i/61065982._SY75_.jpg,3.93,"23,885"
"Mysteries of Thorn Manor (Sorcery of Thorns, #1.5)",Margaret  Rogerson,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1678637845i/61272184._SY75_.jpg,4.12,"17,370"
A House with Good Bones,T. Kingfisher,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1664972416i/60784409._SY75_.jpg,3.72,"23,890"
"Lore Olympus: Volume Four (Lore Olympus, #4)",Rachel  Smythe,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1663971909i/62698816._SX50_.jpg,4.52,"22,110"
Devious Obsession,S. Massery,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1678112196i/65001465._SX50_.jpg,4.07,"9,645"
"The Bitter Past (Porter Beck, #1)",Bruce Borgos,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1680589749i/61884882._SY75_.jpg,4.12,"1,099"
The House Is on Fire,Rachel Beanland,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1678326118i/61273814._SY75_.jpg,4.11,"11,751"
The Ferryman,Justin Cronin,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1659983263i/61282437._SY75_.jpg,3.95,"21,468"
"Immortal Longings (Flesh and False Gods, #1)",Chloe Gong,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1681921623i/62919356._SY75_.jpg,3.55,"12,119"
"That Time I Got Drunk and Saved a Human (Mead Mishaps, #3)",Kimberly Lemming,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1684867278i/122752652._SY75_.jpg,4.25,"3,814"
"Bone Island: Book of Danvers (Tales of Weeping Hollow, #2)",Nicole Fiorina,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1677751800i/123164084._SY75_.jpg,4.45,"1,185"
Stone Cold Fox,Rachel Koller Croft,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1655672906i/61053935._SY75_.jpg,3.67,"16,976"
"The Crown of Oaths and Curses (The Mortal Fates, #1)",J.  Bree,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1672867196i/63119009._SY75_.jpg,4.34,"6,482"
"Georgie, All Along",Kate Clayborn,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1675710465i/60604190._SX50_.jpg,3.82,"44,236"
"God of Ruin (Legacy of Gods, #4)",Rina Kent,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1691970083i/63346945._SY75_.jpg,4.13,"21,927"
Murder Your Employer: The McMasters Guide to Homicide,Rupert Holmes,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1675615554i/61272658._SX50_.jpg,3.90,"16,981"
A Study in Drowning,Ava Reid,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1675782203i/75302266._SY75_.jpg,3.96,"17,941"
Out on a Limb,Hannah Bonam-Young,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1682792551i/124950295._SY75_.jpg,4.41,"29,578"
The Drift,C.J. Tudor,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1673872095i/60965424._SY75_.jpg,3.72,"9,997"
The Drowning Woman,Robyn Harding,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1681110477i/62874245._SY75_.jpg,4.06,"23,222"
